gen	nevals	avg        	stddev    	min       	max      
0  	60    	0          	0         	0         	0        
1  	55    	0          	0         	0         	0        
2  	56    	-0.0166667 	0.128019  	-1        	0        
3  	54    	0          	0         	0         	0        
4  	56    	0          	0         	0         	0        
5  	54    	0          	0         	0         	0        
6  	55    	0          	0         	0         	0        
7  	54    	0          	0         	0         	0        
8  	59    	0          	0         	0         	0        
9  	55    	0          	0         	0         	0        
10 	54    	0          	0         	0         	0        
11 	49    	0          	0         	0         	0        
12 	57    	0          	0         	0         	0        
13 	58    	0          	0         	0         	0        
14 	57    	0          	0         	0         	0        
15 	58    	0          	0         	0         	0        
16 	55    	0          	0         	0         	0        
17 	55    	0          	0         	0         	0        
18 	52    	0.000355214	0.00272845	0         	0.0213129
19 	54    	-0.0116634 	0.129715  	-1        	0.089982 
20 	56    	0.0176489  	0.0311385 	0         	0.11577  
21 	57    	0.0440282  	0.0428439 	0         	0.11577  
22 	53    	0.0811757  	0.0469684 	0         	0.205903 
23 	53    	0.117099   	0.0705965 	0         	0.487564 
24 	55    	0.191832   	0.122437  	0         	0.490991 
25 	58    	0.241162   	0.164088  	0         	0.490991 
26 	49    	0.316369   	0.17417   	0         	0.490991 
27 	53    	0.377784   	0.174267  	0         	0.492007 
28 	55    	0.371681   	0.172954  	0         	0.560571 
29 	55    	0.391411   	0.183435  	0         	0.560571 
30 	57    	0.393732   	0.198647  	0         	0.610399 
31 	57    	0.457962   	0.160827  	0         	0.610399 
32 	53    	0.478939   	0.175509  	0         	0.610399 
33 	58    	0.42306    	0.235952  	0         	0.636256 
34 	56    	0.434076   	0.218722  	0         	0.610434 
35 	50    	0.481763   	0.213531  	0         	0.636256 
36 	52    	0.483849   	0.225432  	0         	0.64929  
37 	58    	0.488816   	0.22817   	0         	0.652892 
38 	54    	0.583189   	0.164748  	0         	0.660498 
39 	52    	0.5679     	0.181984  	0         	0.660498 
40 	54    	0.601744   	0.146498  	0.0735741 	0.691457 
41 	52    	0.594576   	0.188161  	0         	0.691457 
42 	58    	0.586571   	0.209813  	0         	0.700368 
43 	54    	0.672212   	0.0756214 	0.11684   	0.705561 
44 	58    	0.595028   	0.22728   	0         	0.830189 
45 	57    	0.662643   	0.172576  	0.00289572	0.830998 
46 	55    	0.636454   	0.254206  	0         	0.830998 
47 	56    	0.739007   	0.175258  	0.0701143 	0.844327 
48 	59    	0.720625   	0.255407  	0         	0.844327 
49 	56    	0.801935   	0.156371  	0.070122  	0.844664 
50 	55    	0.823201   	0.111458  	0.192886  	0.844664 
51 	49    	0.772716   	0.207131  	0         	0.851771 
52 	56    	0.802373   	0.150238  	0.159937  	0.851771 
53 	56    	0.791985   	0.193575  	0         	1.03716  
54 	54    	0.825573   	0.160173  	0.113235  	1.09549  
55 	56    	0.893679   	0.203346  	0.0183399 	1.09739  
56 	53    	0.959853   	0.273893  	0         	1.13882  
57 	54    	0.995482   	0.275388  	0.167232  	1.13882  
58 	52    	1.03192    	0.241048  	0         	1.13882  
59 	51    	1.00838    	0.320721  	0         	1.22227  
60 	55    	1.03913    	0.303263  	0.0897487 	1.22227  
61 	51    	1.05236    	0.364108  	-1        	1.22227  
62 	56    	1.09516    	0.286181  	0.115777  	1.26     
63 	53    	1.16792    	0.213742  	0.140928  	1.26     
64 	51    	1.17597    	0.249272  	0.0191544 	1.26     
65 	57    	1.15216    	0.307639  	0         	1.26124  
66 	54    	1.19454    	0.23707   	0.167546  	1.26124  
67 	53    	1.13659    	0.337288  	0         	1.26124  
68 	56    	1.21361    	0.166963  	0.108293  	1.26108  
69 	58    	1.13784    	0.318924  	0.0943485 	1.26108  
70 	57    	1.14724    	0.324867  	0.111091  	1.27966  
71 	53    	1.10191    	0.367619  	0.052264  	1.29606  
72 	57    	1.05489    	0.460365  	-1        	1.29606  
73 	55    	1.13022    	0.385791  	-1        	1.29606  
74 	58    	1.07587    	0.38154   	0.107317  	1.29606  
75 	53    	1.14887    	0.328615  	0.114818  	1.40425  
76 	57    	1.2038     	0.295367  	0.093075  	1.40425  
77 	54    	1.18631    	0.392532  	0         	1.4043   
78 	53    	1.27       	0.347716  	0         	1.4043   
79 	57    	1.29845    	0.319533  	0.133607  	1.40435  
80 	54    	1.31994    	0.29336   	0         	1.40473  
81 	57    	1.21226    	0.435045  	0         	1.40473  
82 	53    	1.29963    	0.331343  	0.0586408 	1.40474  
83 	57    	1.35868    	0.230845  	0         	1.40474  
84 	56    	1.31844    	0.303108  	0.149519  	1.49709  
85 	56    	1.25491    	0.39974   	0.0182132 	1.49709  
86 	54    	1.16881    	0.507803  	0.0424433 	1.50184  
87 	58    	1.35332    	0.31921   	0.197149  	1.54059  
88 	54    	1.34841    	0.398487  	0.0696045 	1.54059  
89 	56    	1.28318    	0.484745  	0.1113    	1.54062  
90 	56    	1.45271    	0.308806  	0         	1.54126  
91 	56    	1.50611    	0.169336  	0.218169  	1.54138  
92 	58    	1.48921    	0.23782   	0.18611   	1.54244  
93 	51    	1.53229    	0.0194945 	1.48694   	1.56722  
94 	54    	1.44251    	0.349397  	0.023032  	1.56722  
95 	52    	1.48303    	0.2617    	0.0207378 	1.56722  
96 	56    	1.43562    	0.36711   	0.12477   	1.5696   
97 	56    	1.48875    	0.302605  	0.126084  	1.58879  
98 	51    	1.46698    	0.349066  	0         	1.58882  
99 	57    	1.37727    	0.462382  	0         	1.58908  
100	59    	1.50201    	0.324746  	0.0146721 	1.59056  
101	57    	1.43572    	0.419587  	0.076496  	1.59056  
102	57    	1.50125    	0.30751   	0         	1.60368  
103	59    	1.42564    	0.413601  	0.136178  	1.59092  
104	54    	1.4797     	0.331644  	0.236397  	1.59926  
105	52    	1.46549    	0.364842  	0.147814  	1.60716  
106	57    	1.486      	0.325922  	0.223066  	1.61991  
107	54    	1.30552    	0.547994  	0         	1.61242  
108	53    	1.3945     	0.44864   	0.0866103 	1.6124   
109	58    	1.40378    	0.473657  	0.129113  	1.62328  
110	58    	1.35161    	0.570723  	-1        	1.61653  
111	55    	1.49388    	0.353986  	0.0773152 	1.6124   
112	55    	1.29228    	0.556782  	0.0262589 	1.62834  
113	54    	1.44559    	0.408316  	0.136907  	1.62808  
114	52    	1.48498    	0.349896  	0.234852  	1.62808  
115	53    	1.46845    	0.44362   	-1        	1.63865  
116	54    	1.40036    	0.467284  	0.0766294 	1.62808  
117	56    	1.38136    	0.483425  	0.0639577 	1.62824  
118	53    	1.3744     	0.500068  	0.11522   	1.62879  
119	53    	1.48439    	0.36935   	0         	1.62879  
120	54    	1.39733    	0.482436  	0         	1.62879  
121	55    	1.44847    	0.417601  	0.134223  	1.6378   
122	58    	1.43607    	0.446103  	0.0321131 	1.64918  
123	53    	1.49348    	0.37555   	0.157817  	1.64919  
124	57    	1.43379    	0.445374  	0.0960085 	1.64919  
125	51    	1.56535    	0.255224  	0.152274  	1.64919  
126	55    	1.56274    	0.264071  	0.118547  	1.74581  
127	58    	1.54506    	0.303163  	0.238853  	1.74581  
128	52    	1.55594    	0.381598  	0.131396  	1.74581  
129	54    	1.55217    	0.457304  	0.0958592 	1.75165  
130	55    	1.55528    	0.463588  	0.0248357 	1.75215  
